Date,Deaths,7-Day Average
2020-03-11,1,
2020-03-12,0,
2020-03-13,1,
2020-03-14,1,
2020-03-15,2,
2020-03-16,2,
2020-03-17,1,1.1
2020-03-18,6,1.9
2020-03-19,7,2.9
2020-03-20,9,4.0
2020-03-21,8,5.0
2020-03-22,11,6.3
2020-03-23,11,7.6
2020-03-24,21,10.4
2020-03-25,22,12.7
2020-03-26,31,16.1
2020-03-27,32,19.4
2020-03-28,35,23.3
2020-03-29,38,27.1
2020-03-30,45,32.0
2020-03-31,48,35.9
2020-04-01,53,40.3
2020-04-02,70,45.9
2020-04-03,80,52.7
2020-04-04,70,57.7
2020-04-05,85,64.4
2020-04-06,90,70.9
2020-04-07,84,76.0
2020-04-08,115,84.9
2020-04-09,86,87.1
2020-04-10,90,88.6
2020-04-11,102,93.1
2020-04-12,97,94.9
2020-04-13,84,94.0
2020-04-14,91,95.0
2020-04-15,115,95.0
2020-04-16,111,98.6
2020-04-17,83,97.6
2020-04-18,86,95.3
2020-04-19,87,93.9
2020-04-20,85,94.0
2020-04-21,62,89.9
2020-04-22,77,84.4
2020-04-23,86,80.9
2020-04-24,89,81.7
2020-04-25,73,79.9
2020-04-26,74,78.0
2020-04-27,74,76.4
2020-04-28,83,79.4
2020-04-29,83,80.3
2020-04-30,78,79.1
2020-05-01,78,77.6
2020-05-02,72,77.4
2020-05-03,75,77.6
2020-05-04,83,78.9
2020-05-05,72,77.3
2020-05-06,73,75.9
2020-05-07,80,76.1
2020-05-08,60,73.6
2020-05-09,68,73.0
2020-05-10,73,72.7
2020-05-11,65,70.1
2020-05-12,61,68.6
2020-05-13,50,65.3
2020-05-14,46,60.4
2020-05-15,58,60.1
2020-05-16,48,57.3
2020-05-17,52,54.3
2020-05-18,59,53.4
2020-05-19,41,50.6
2020-05-20,52,50.9
2020-05-21,53,51.9
2020-05-22,56,51.6
2020-05-23,55,52.6
2020-05-24,44,51.4
2020-05-25,42,49.0
2020-05-26,28,47.1
2020-05-27,38,45.1
2020-05-28,40,43.3
2020-05-29,40,41.0
2020-05-30,38,38.6
2020-05-31,46,38.9
2020-06-01,39,38.4
2020-06-02,36,39.6
2020-06-03,28,38.1
2020-06-04,44,38.7
2020-06-05,37,38.3
2020-06-06,29,37.0
2020-06-07,33,35.1
2020-06-08,38,35.0
2020-06-09,33,34.6
2020-06-10,39,36.1
2020-06-11,35,34.9
2020-06-12,29,33.7
2020-06-13,33,34.3
2020-06-14,27,33.4
2020-06-15,30,32.3
2020-06-16,28,31.6
2020-06-17,32,30.6
2020-06-18,29,29.7
2020-06-19,30,29.9
2020-06-20,29,29.3
2020-06-21,22,28.6
2020-06-22,20,27.1
2020-06-23,25,26.7
2020-06-24,22,25.3
2020-06-25,23,24.4
2020-06-26,11,21.7
2020-06-27,14,19.6
2020-06-28,23,19.7
2020-06-29,16,19.1
2020-06-30,20,18.4
2020-07-01,15,17.4
2020-07-02,15,16.3
2020-07-03,8,15.9
2020-07-04,15,16.0
2020-07-05,9,14.0
2020-07-06,15,13.9
2020-07-07,12,12.7
2020-07-08,10,12.0
2020-07-09,15,12.0
2020-07-10,14,12.9
2020-07-11,10,12.1
2020-07-12,8,12.0
2020-07-13,12,11.6
2020-07-14,8,11.0
2020-07-15,6,10.4
2020-07-16,6,9.1
2020-07-17,7,8.1
2020-07-18,11,8.3
2020-07-19,7,8.1
2020-07-20,6,7.3
2020-07-21,7,7.1
2020-07-22,6,7.1
2020-07-23,5,7.0
2020-07-24,3,6.4
2020-07-25,1,5.0
2020-07-26,2,4.3
2020-07-27,6,4.3
2020-07-28,4,3.9
2020-07-29,1,3.1
2020-07-30,0,2.4
2020-07-31,2,2.3
2020-08-01,2,2.4
2020-08-02,3,2.6
2020-08-03,4,2.3
2020-08-04,2,2.0
2020-08-05,1,2.0
2020-08-06,4,2.6
2020-08-07,2,2.6
2020-08-08,1,2.4
2020-08-09,4,2.6
2020-08-10,2,2.3
2020-08-11,4,2.6
2020-08-12,3,2.9
2020-08-13,5,3.0
2020-08-14,1,2.9
2020-08-15,1,2.9
2020-08-16,0,2.3
2020-08-17,3,2.4
2020-08-18,4,2.4
2020-08-19,1,2.1
2020-08-20,2,1.7
2020-08-21,5,2.3
2020-08-22,1,2.3
2020-08-23,3,2.7
2020-08-24,1,2.4
2020-08-25,1,2.0
2020-08-26,2,2.1
2020-08-27,1,2.0
2020-08-28,1,1.4
2020-08-29,1,1.4
2020-08-30,3,1.4
2020-08-31,2,1.6
2020-09-01,3,1.9
2020-09-02,2,1.9
2020-09-03,2,2.0
2020-09-04,0,1.9
2020-09-05,0,1.7
2020-09-06,3,1.7
2020-09-07,1,1.6
2020-09-08,1,1.3
2020-09-09,2,1.3
2020-09-10,2,1.3
2020-09-11,4,1.9
2020-09-12,1,2.0
2020-09-13,2,1.9
2020-09-14,2,2.0
2020-09-15,1,2.0
2020-09-16,2,2.0
2020-09-17,1,1.9
2020-09-18,1,1.4
2020-09-19,1,1.4
2020-09-20,4,1.7
2020-09-21,2,1.7
2020-09-22,1,1.7
2020-09-23,0,1.4
2020-09-24,1,1.4
2020-09-25,4,1.9
2020-09-26,2,2.0
2020-09-27,1,1.6
2020-09-28,1,1.4
2020-09-29,2,1.6
2020-09-30,4,2.1
2020-10-01,1,2.1
2020-10-02,3,2.0
2020-10-03,3,2.1
2020-10-04,3,2.4
2020-10-05,2,2.6
2020-10-06,4,2.9
2020-10-07,3,2.7
2020-10-08,1,2.7
2020-10-09,5,3.0
2020-10-10,5,3.3
2020-10-11,2,3.1
2020-10-12,3,3.3
2020-10-13,1,2.9
2020-10-14,2,2.7
2020-10-15,3,3.0
2020-10-16,2,2.6
2020-10-17,4,2.4
2020-10-18,1,2.3
2020-10-19,4,2.4
2020-10-20,4,2.9
2020-10-21,3,3.0
2020-10-22,9,3.9
2020-10-23,7,4.6
2020-10-24,8,5.1
2020-10-25,8,6.1
2020-10-26,11,7.1
2020-10-27,9,7.9
2020-10-28,9,8.7
2020-10-29,9,8.7
2020-10-30,9,9.0
2020-10-31,13,9.7
2020-11-01,22,11.7
2020-11-02,20,13.0
2020-11-03,20,14.6
2020-11-04,21,16.3
2020-11-05,22,18.1
2020-11-06,25,20.4
2020-11-07,27,22.4
2020-11-08,22,22.4
2020-11-09,35,24.6
2020-11-10,35,26.7
2020-11-11,27,27.6
2020-11-12,28,28.4
2020-11-13,33,29.6
2020-11-14,38,31.1
2020-11-15,39,33.6
2020-11-16,37,33.9
2020-11-17,44,35.1
2020-11-18,50,38.4
2020-11-19,46,41.0
2020-11-20,45,42.7
2020-11-21,51,44.6
2020-11-22,59,47.4
2020-11-23,55,50.0
