Date,New Admissions IVA,7-Day Average
2020-03-06,1,1.0
2020-03-07,1,1.0
2020-03-08,1,1.0
2020-03-09,0,0.8
2020-03-10,2,1.0
2020-03-11,1,1.0
2020-03-12,0,0.9
2020-03-13,2,1.0
2020-03-14,6,1.7
2020-03-15,5,2.3
2020-03-16,5,3.0
2020-03-17,3,3.1
2020-03-18,15,5.1
2020-03-19,8,6.3
2020-03-20,17,8.4
2020-03-21,13,9.4
2020-03-22,27,12.6
2020-03-23,37,17.1
2020-03-24,32,21.3
2020-03-25,32,23.7
2020-03-26,41,28.4
2020-03-27,29,30.1
2020-03-28,28,32.3
2020-03-29,41,34.3
2020-03-30,31,33.4
2020-03-31,34,33.7
2020-04-01,48,36.0
2020-04-02,47,36.9
2020-04-03,39,38.3
2020-04-04,36,39.4
2020-04-05,45,40.0
2020-04-06,44,41.9
2020-04-07,45,43.4
2020-04-08,47,43.3
2020-04-09,37,41.9
2020-04-10,36,41.4
2020-04-11,45,42.7
2020-04-12,36,41.4
2020-04-13,43,41.3
2020-04-14,41,40.7
2020-04-15,32,38.6
2020-04-16,33,38.0
2020-04-17,39,38.4
2020-04-18,29,36.1
2020-04-19,33,35.7
2020-04-20,28,33.6
2020-04-21,34,32.6
2020-04-22,50,35.1
2020-04-23,27,34.3
2020-04-24,46,35.3
2020-04-25,28,35.1
2020-04-26,26,34.1
2020-04-27,28,34.1
2020-04-28,32,33.9
2020-04-29,25,30.3
2020-04-30,33,31.1
2020-05-01,15,26.7
2020-05-02,28,26.7
2020-05-03,27,26.9
2020-05-04,25,26.4
2020-05-05,20,24.7
2020-05-06,26,24.9
2020-05-07,28,24.1
2020-05-08,26,25.7
2020-05-09,14,23.7
2020-05-10,17,22.3
2020-05-11,15,20.9
2020-05-12,16,20.3
2020-05-13,19,19.3
2020-05-14,15,17.4
2020-05-15,21,16.7
2020-05-16,18,17.3
2020-05-17,20,17.7
2020-05-18,23,18.9
2020-05-19,13,18.4
2020-05-20,14,17.7
2020-05-21,13,17.4
2020-05-22,15,16.6
