Kommun,14 days Cumulative Cases per 10k Population
Ale,77.8
Alingsås,80.9
Alvesta,85.1
Aneby,47.1
Arboga,78.5
Arjeplog,25.8
Arvidsjaur,195.0
Arvika,146.2
Askersund,64.7
Avesta,113.0
Bengtsfors,65.6
Berg,78.7
Bjurholm,29.4
Bjuv,78.4
Boden,103.6
Bollebygd,81.0
Bollnäs,98.8
Borgholm,75.7
Borlänge,64.8
Borås,79.4
Botkyrka,69.7
Boxholm,79.0
Bromölla,104.2
Bräcke,56.4
Burlöv,48.9
Båstad,42.3
Dals-Ed,37.7
Danderyd,68.9
Degerfors,75.8
Dorotea,8.0
Eda,64.4
Ekerö,85.2
Eksjö,27.0
Emmaboda,75.7
Enköping,63.9
Eskilstuna,55.7
Eslöv,78.3
Essunga,33.4
Fagersta,91.1
Falkenberg,60.2
Falköping,43.6
Falun,78.6
Filipstad,41.8
Finspång,104.6
Flen,67.4
Forshaga,76.6
Färgelanda,91.4
Gagnef,57.8
Gislaved,106.6
Gnesta,57.1
Gnosjö,114.5
Gotland,51.6
Grums,44.3
Grästorp,33.3
Gullspång,57.6
Gällivare,88.1
Gävle,68.1
Göteborg,65.6
Götene,59.9
Habo,70.0
Hagfors,73.8
Hallsberg,103.1
Hallstahammar,40.2
Halmstad,81.9
Hammarö,63.0
Haninge,73.6
Haparanda,22.9
Heby,111.8
Hedemora,168.6
Helsingborg,51.6
Herrljunga,57.1
Hjo,70.3
Hofors,162.0
Huddinge,80.2
Hudiksvall,78.7
Hultsfred,55.8
Hylte,82.4
Håbo,100.2
Hällefors,72.7
Härjedalen,122.4
Härnösand,51.0
Härryda,61.8
Hässleholm,65.9
Höganäs,48.0
Högsby,130.1
Hörby,35.0
Höör,60.2
Jokkmokk,105.0
Järfälla,86.0
Jönköping,63.2
Kalix,53.8
Kalmar,133.7
Karlsborg,81.6
Karlshamn,109.8
Karlskoga,108.7
Karlskrona,50.3
Karlstad,62.4
Katrineholm,78.2
Kil,35.6
Kinda,77.0
Kiruna,65.7
Klippan,58.2
Knivsta,76.6
Kramfors,115.4
Kristianstad,87.0
Kristinehamn,84.2
Krokom,83.8
Kumla,71.9
Kungsbacka,70.7
Kungsör,42.4
Kungälv,61.9
Kävlinge,44.3
Köping,45.9
Laholm,64.3
Landskrona,50.5
Laxå,33.6
Lekeberg,65.1
Leksand,26.0
