Kommun,Total Confirmed Cases,Total % of Population With Confirmed Infected
Ale,4172,13.1%
Alingsås,4453,10.7%
Alvesta,2005,9.9%
Aneby,590,8.7%
Arboga,1276,9.1%
Arjeplog,185,6.8%
Arvidsjaur,394,6.4%
Arvika,1929,7.4%
Askersund,755,6.6%
Avesta,2163,9.4%
Bengtsfors,762,7.9%
Berg,639,9.0%
Bjurholm,70,2.9%
Bjuv,1942,12.4%
Boden,2908,10.4%
Bollebygd,1064,11.2%
Bollnäs,2958,11.0%
Borgholm,559,5.2%
Borlänge,4019,7.7%
Borås,12359,10.9%
Botkyrka,10101,10.7%
Boxholm,410,7.5%
Bromölla,1195,9.4%
Bräcke,544,8.8%
Burlöv,2395,12.5%
Båstad,1319,8.6%
Dals-Ed,310,6.5%
Danderyd,3269,10.0%
Degerfors,861,8.9%
Dorotea,81,3.2%
Eda,484,5.7%
Ekerö,2774,9.6%
Eksjö,2017,11.3%
Emmaboda,738,7.9%
Enköping,4608,10.0%
Eskilstuna,9555,8.9%
Eslöv,3636,10.7%
Essunga,385,6.8%
Fagersta,1526,11.5%
Falkenberg,5020,10.9%
Falköping,3026,9.1%
Falun,5391,9.1%
Filipstad,515,4.9%
Finspång,1627,7.5%
Flen,1219,7.4%
Forshaga,634,5.5%
Färgelanda,671,10.1%
Gagnef,792,7.6%
Gislaved,4308,14.5%
Gnesta,891,7.8%
Gnosjö,1504,15.7%
Gotland,3721,6.2%
Grums,562,6.2%
Grästorp,418,7.3%
Gullspång,461,8.9%
Gällivare,1871,10.7%
Gävle,14202,13.8%
Göteborg,68915,11.8%
Götene,1016,7.7%
Habo,1349,10.7%
Hagfors,1057,9.2%
Hallsberg,1545,9.7%
Hallstahammar,1350,8.2%
Halmstad,12858,12.4%
Hammarö,1048,6.3%
Haninge,9771,10.5%
Haparanda,618,6.4%
Heby,1135,8.1%
Hedemora,1389,9.0%
Helsingborg,19291,12.9%
Herrljunga,700,7.4%
Hjo,766,8.3%
Hofors,1349,14.1%
Huddinge,12893,11.4%
Hudiksvall,3644,9.7%
Hultsfred,1165,8.2%
Hylte,1317,12.3%
Håbo,2359,10.7%
Hällefors,541,7.9%
Härjedalen,920,9.2%
Härnösand,1921,7.7%
Härryda,4539,11.9%
Hässleholm,5297,10.2%
Höganäs,2867,10.6%
Högsby,545,9.5%
Hörby,1330,8.5%
Höör,1454,8.7%
Jokkmokk,485,10.0%
Järfälla,8473,10.5%
Jönköping,15875,11.1%
Kalix,1284,8.1%
Kalmar,7754,11.0%
Karlsborg,546,7.8%
Karlshamn,2646,8.2%
Karlskoga,2977,9.8%
Karlskrona,4920,7.4%
Karlstad,6728,7.1%
Katrineholm,2533,7.3%
Kil,677,5.6%
Kinda,704,7.0%
Kiruna,2130,9.4%
Klippan,1971,11.1%
Knivsta,1689,8.9%
Kramfors,1499,8.3%
Kristianstad,10435,12.1%
Kristinehamn,1320,5.5%
Krokom,1028,6.8%
Kumla,2159,9.9%
Kungsbacka,8872,10.5%
Kungsör,717,8.2%
Kungälv,5443,11.6%
Kävlinge,3264,10.2%
Köping,2035,7.8%
