Kommun,Population,14 days Cumulative Cases per 10k Population,Total Confirmed Cases,Total % of Population With Confirmed Infected,Total Deaths,Deaths per 10k Population,% Vaccinated - Dose 1,% Vaccinated - Dose 2,Vaccinated - Dose 1,Vaccinated - Dose 2,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Change Rate,Case Notification rate per 10k Population Previous Week,Region
Ale,31760,6.9,4308,13.6%,26,8.2,79.5%,60.9%,19184,14702, 6, 6, 4, 2, 4, 6, 5, 13, 11, 16, 17, 5,0.3,10.4,Västra Götaland
Alingsås,41633,7.4,4644,11.2%,73,17.5,83.0%,66.8%,26861,21632, 8, 30, 21, 12, 0, 5, 9, 6, 9, 14, 24, 7,0.3,9.1,Västra Götaland
Alvesta,20217,8.4,2113,10.5%,41,20.3,79.5%,66.6%,12257,10265, 12, 13, 8, 5, 2, 1, 1, 5, 8, 3, 5, 12,2.4,4.0,Kronoberg
Aneby,6796,17.7,634,9.3%,3,4.4,84.0%,73.8%,4477,3933, 1, 2, 1, 1, 0, 2, 0, 0, 0, 5, 8, 4,0.5,19.1,Jönköping
Arboga,14013,0.0,1304,9.3%,15,10.7,84.6%,75.9%,9602,8614, 1, 2, 1, 1, 1, 0, 1, 1, 2, 4, 0, 0,,2.9,Västmanland
Arjeplog,2712,3.7,220,8.1%,6,22.1,84.8%,80.4%,1928,1828, 3, 8, 10, 2, 0, 0, 0, 0, 0, 7, 1, 0,0.0,29.5,Norrbotten
Arvidsjaur,6155,4.9,535,8.7%,3,4.9,87.7%,72.8%,4411,3659, 38, 17, 12, 5, 2, 0, 0, 0, 1, 2, 3, 0,0.0,8.1,Norrbotten
Arvika,25932,4.2,2008,7.7%,26,10.0,89.3%,85.0%,18739,17826, 12, 3, 3, 1, 0, 0, 0, 4, 2, 10, 7, 4,0.6,6.6,Värmland
Askersund,11431,2.6,787,6.9%,3,2.6,84.6%,80.7%,7905,7541, 5, 1, 0, 0, 0, 0, 0, 1, 5, 10, 3, 0,0.0,11.4,Örebro
Avesta,23100,5.6,2213,9.6%,25,10.8,83.0%,71.7%,15284,13206, 0, 0, 0, 7, 1, 0, 0, 1, 1, 13, 8, 5,0.6,9.1,Dalarna
Bengtsfors,9605,0.0,777,8.1%,12,12.5,84.2%,66.2%,6611,5204, 2, 0, 0, 2, 1, 2, 1, 0, 0, 0, 0, 0,,0.0,Västra Götaland
Berg,7113,16.9,673,9.5%,8,11.2,80.8%,70.4%,4626,4033, 1, 1, 2, 3, 1, 0, 0, 0, 0, 2, 10, 2,0.2,16.9,Jämtland
Bjurholm,2384,8.4,85,3.6%,0,0.0,85.6%,72.5%,1660,1405, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 0,0.0,8.4,Västerbotten
Bjuv,15681,7.0,2036,13.0%,26,16.6,71.7%,62.4%,8611,7485, 6, 1, 3, 1, 0, 1, 1, 3, 6, 4, 8, 3,0.4,7.7,Skåne
Boden,28083,0.7,3128,11.1%,42,15.0,88.0%,72.1%,20158,16509, 21, 40, 15, 8, 5, 0, 0, 2, 9, 4, 2, 0,0.0,2.1,Norrbotten
Bollebygd,9503,3.2,1089,11.5%,9,9.5,83.8%,65.7%,6113,4793, 4, 0, 0, 0, 0, 1, 1, 1, 1, 2, 3, 0,0.0,5.3,Västra Götaland
Bollnäs,26811,7.1,3035,11.3%,31,11.6,83.9%,74.5%,17969,15970, 8, 2, 0, 0, 1, 1, 0, 1, 3, 5, 13, 6,0.5,6.7,Gävleborg
Borgholm,10833,11.1,597,5.5%,6,5.5,88.0%,80.6%,8119,7430, 4, 11, 2, 1, 0, 0, 0, 0, 0, 0, 5, 7,1.4,4.6,Kalmar
Borlänge,52439,6.1,4276,8.2%,109,20.8,81.2%,69.6%,33014,28289, 20, 7, 5, 4, 7, 9, 5, 13, 18, 20, 18, 14,0.8,7.2,Dalarna
Borås,113700,7.7,12950,11.4%,200,17.6,78.6%,61.0%,70107,54402, 49, 17, 18, 17, 16, 12, 17, 23, 38, 56, 73, 14,0.2,11.3,Västra Götaland
Botkyrka,94843,14.9,10652,11.2%,153,16.1,63.8%,51.9%,45952,37354, 22, 15, 6, 6, 12, 11, 34, 52, 67, 107, 105, 36,0.3,22.4,Stockholm
Boxholm,5443,0.0,422,7.8%,3,5.5,87.9%,79.7%,3892,3529, 0, 1, 0, 1, 0, 0, 0, 3, 0, 2, 0, 0,,3.7,Östergötland
Bromölla,12762,1.6,1285,10.1%,12,9.4,81.1%,71.0%,8145,7133, 12, 9, 9, 3, 1, 1, 2, 0, 2, 3, 2, 0,0.0,3.9,Skåne
Bräcke,6207,4.8,552,8.9%,19,30.6,82.7%,70.6%,4200,3586, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 3, 0,0.0,6.4,Jämtland
Burlöv,19211,9.9,2458,12.8%,38,19.8,73.5%,65.3%,10787,9588, 1, 2, 3, 4, 0, 5, 1, 2, 3, 3, 18, 1,0.1,10.9,Skåne
Båstad,15377,2.0,1403,9.1%,16,10.4,85.8%,79.0%,10879,10013, 4, 2, 2, 5, 3, 7, 17, 19, 8, 4, 3, 0,0.0,4.6,Skåne
Dals-Ed,4780,0.0,320,6.7%,6,12.6,86.8%,62.1%,3344,2390, 3, 0, 0, 0, 0, 0, 1, 1, 0, 5, 0, 0,,10.5,Västra Götaland
Danderyd,32677,7.0,3556,10.9%,45,13.8,87.5%,76.8%,21502,18869, 12, 17, 11, 10, 29, 12, 29, 30, 33, 32, 21, 2,0.1,16.2,Stockholm
Degerfors,9633,5.2,892,9.3%,14,14.5,83.8%,78.9%,6592,6207, 6, 0, 0, 2, 0, 1, 3, 0, 1, 0, 4, 1,0.3,4.2,Örebro
Dorotea,2505,0.0,86,3.4%,0,0.0,88.5%,77.4%,1838,1607, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0,,0.0,Västerbotten
Eda,8547,3.5,517,6.0%,11,12.9,86.1%,82.5%,5910,5660, 1, 3, 5, 1, 1, 7, 0, 1, 5, 0, 1, 2,2.0,1.2,Värmland
Ekerö,28861,10.4,2927,10.1%,35,12.1,83.7%,72.4%,17735,15344, 4, 2, 6, 3, 4, 10, 7, 19, 14, 9, 15, 15,1.0,8.3,Stockholm
Eksjö,17794,6.2,2136,12.0%,35,19.7,84.5%,75.0%,11950,10599, 20, 16, 15, 7, 3, 0, 1, 0, 3, 8, 10, 1,0.1,10.1,Jönköping
Emmaboda,9382,1.1,794,8.5%,3,3.2,80.1%,71.4%,6049,5391, 0, 0, 0, 0, 0, 5, 23, 2, 3, 1, 1, 0,0.0,2.1,Kalmar
Enköping,46176,8.2,4828,10.5%,73,15.8,86.5%,76.1%,31135,27375, 12, 17, 8, 7, 5, 4, 7, 5, 6, 29, 32, 6,0.2,13.2,Uppsala
Eskilstuna,107061,6.4,10013,9.4%,165,15.4,80.8%,70.6%,67080,58596, 30, 21, 10, 23, 20, 14, 10, 29, 40, 46, 62, 6,0.1,10.1,Södermanland
Eslöv,34088,11.4,3843,11.3%,28,8.2,80.0%,69.7%,21013,18299, 42, 19, 13, 2, 4, 11, 9, 2, 3, 9, 25, 14,0.6,10.0,Skåne
Essunga,5681,3.5,404,7.1%,7,12.3,81.6%,67.2%,3683,3033, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0,0.0,3.5,Västra Götaland
Fagersta,13286,18.1,1622,12.2%,15,11.3,79.7%,69.7%,8301,7255, 11, 8, 0, 2, 0, 0, 0, 1, 5, 15, 23, 1,0.0,28.6,Västmanland
Falkenberg,46002,8.0,5246,11.4%,44,9.6,83.8%,75.9%,30638,27734, 11, 9, 12, 8, 3, 2, 5, 14, 25, 40, 29, 8,0.3,15.0,Halland
